Brand,Name,CPU,Weight,Price,Link,ImageLink,Display,RAM,Storage,Graphics Card,Source,Matching Group
ASUS,Asus TUF Gaming FX506LHB-HN188W," i5, 10300H",2.3 kg,15.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506lhb-hn188w-i5-10300h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/26/637788079927538825_asus-tuf-gaming-fx506lh-den-2022-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Anti-glare LED-backlit","8 GB (1 thanh 8 GB), DDR4, 2933 MHz",SSD 512 GB,"NVIDIA GeForce GTX 1650 4GB, Intel UHD Graphics",fptshop,Asus TUF Gaming FX506LHB-HN188W
MSI,MSI Gaming GF63 Thin 11SC-664VN," i5, 11400H",1.86 kg,15.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-11sc-664vn-i5-11400h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/16/638121568991590497_msi-gaming-gf63-thin-11-den-3.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, FHD","8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4GB,fptshop,MSI Gaming GF63 Thin 11SC-664VN
GIGABYTE,Gigabyte Gaming G5 GD-51VN123SO," i5, 11400H",2.2 kg,18.190.000₫,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g5-gd-i5-11400h-rtx3050,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/9/18/637675535176190224_gigabyte-gaming-g5-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 300 nits, Anti-glare LED-backlit","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, Intel UHD Graphics",fptshop,Gigabyte Gaming G5 GD-51VN123SO
ACER,Acer Nitro 5 Tiger Gaming AN515-58-52SP," i5, 12500H",2.5 kg,22.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-58-52sp-i5-12500h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/1/637817435466475076_acer-nitro-gaming-an515-58-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Acer ComfyView LED-backlit","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, Intel Iris Xe Graphics",fptshop,Acer Nitro 5 Tiger Gaming AN515-58-52SP
LENOVO,Lenovo Gaming Legion 5 15IAH7H," i5, 12500H",2.35 kg,27.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-legion-5-15iah7h-i5-12500h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/23/638151671900654404_lenovo-gaming-legion-5-15iah7h-xam-dam-1.jpg,"15.6 inch, 2560 x 1440 Pixels, IPS, 165 Hz, 300 nits, IPS LCD LED Backlit, True Tone","16 GB (2 thanh 8 GB), DDR5, 4800 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3060 6GB, Intel Iris Xe Graphics",fptshop,Lenovo Gaming Legion 5 15IAH7H
MSI,MSI Gaming Alpha 15 B5EEK-203VN," Ryzen 5, 5600H",2.35 kg,17.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-alpha-15-b5eek-203vn-r5-5600h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/9/23/637679950996596620_msi-gaming-alpha-15-den-rgb-1-zone-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 358 nits, IPS FHD","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"AMD Radeon RX 6600M 8GB, AMD Radeon Graphics Vega 6",fptshop,MSI Gaming Alpha 15 B5EEK-203VN
ACER,Acer Nitro Gaming AN515-57-54MV," i5, 11400H",2.2 kg,19.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-54mv-i5-11400h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/7/5/637610884165519217_acer-nitro-gaming-an515-57-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Acer ComfyView LED-backlit","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, Intel UHD Graphics",fptshop,Acer Nitro Gaming AN515-57-54MV
MSI,MSI Gaming Thin GF63 12VE-454VN," i5, 12450H",1.86 kg,21.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-thin-gf63-12ve-454vn-i5-12450h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/7/638137864183879681_msi-gaming-gf63-thin-11uc-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, IPS FHD","16 GB, DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 4050 6GB GDDR6, Intel Iris Xe Graphics",fptshop,MSI Gaming Thin GF63 12VE-454VN
ASUS,Asus TUF Gaming FX506HC-HN144W," i5, 11400H",2.3 kg,19.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506hc-hn144w-i5-11400h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/4/8/637850092511020843_asus-tuf-gaming-fx506h-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Anti-glare LED-backlit","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, Intel UHD Graphics",fptshop,Asus TUF Gaming FX506HC-HN144W
LENOVO,Lenovo Ideapad Gaming 3 15ARH7," Ryzen 7, 6800H",2.32 kg,17.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-gaming-3-15arh7-r7-6800h?card-do-hoa=rtx-3050,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/8/15/637961729514184998_lenovo-ideapad-gaming-3-15arh7-trang-4.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 120 Hz, 250 nits, IPS","8 GB, DDR5, 4800 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, AMD Radeon Graphics",fptshop,Lenovo Ideapad Gaming 3 15ARH7
