Brand,Name,CPU,Weight,Price,OldPrice,Link,ImageLink,Display,RAM,Storage,Graphics Card,Size,OS,Manufacturing Year,Source,Matching Group
 MacBook,APPLE MACBOOK AIR 13 INCH M1 2020 8-CORE CPU,Apple M1 ,1.29 kg,18.390.000₫,,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,https://cdn.tgdd.vn/Products/Images/44/231244/Slider/vi-vn-apple-macbook-air-2020-mgn63saa-thumbvideo.jpg,"13.3"" Retina (2560 x 1600) ",8 GB ,256 GB SSD ,Card tích hợp 7 nhân GPU ,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm -,Mac OS ,2020,tgdd,APPLE MACBOOK AIR 13 INCH M1 2020 8-CORE CPU
 HP,HP 240 G8 I3 1115G4,i3 1115G4,1.47 kg,9.790.000₫ *,,https://www.thegioididong.com/laptop/hp-240-g8-i3-6l1a1pa,https://cdn.tgdd.vn/Products/Images/44/285962/Slider/vi-vn-hp-240-g8-i3-6l1a1pa-1.jpg,"14"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) ",Card tích hợp Intel UHD ,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm -,Windows 11 Home SL ,2022,tgdd,HP 240 G8 I3 1115G4
 Acer,ACER ASPIRE 3 A315 57 379K I3 1005G1,i3 1005G1,1.7 kg,7.990.000₫ *,,https://www.thegioididong.com/laptop/acer-aspire-3-a315-57-379k-i3-nxkagsv001,https://cdn.tgdd.vn/Products/Images/44/291965/Slider/acer-aspire-3-a315-57-379k-i3-nxkagsv001-acv-1-1020x570.jpg,"15.6"" Full HD (1920 x 1080) ",4 GB DDR4 (Onboard 4 GB +1 khe rời) Từ 2400 MHz ,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB) ",Card tích hợp Intel UHD ,Dài 363.4 mm - Rộng 250.5 mm - Dày 19.9 mm -,Windows 11 Home SL ,2021,tgdd,Acer Aspire 3 A315-56-38B1
 MacBook,APPLE MACBOOK PRO 16 INCH M1 PRO 2021 10 CORE-CPU,Apple M1 Pro 200GB/s ,2.1 kg,58.490.000₫,,https://www.thegioididong.com/laptop/apple-pro-16-m1-pro-2021-10-core-cpu,https://cdn.tgdd.vn/Products/Images/44/253636/Slider/vi-vn-apple-pro-16-m1-pro-2021-10-core-cpu-thumbvideo.jpg,"16.2"" Liquid Retina XDR display (3456 x 2234) 120Hz ",16 GB ,512 GB SSD ,Card tích hợp 16 nhân GPU ,Dài 355.7 mm - Rộng 248.1 mm - Dày 16.8 mm -,Mac OS ,10/2021 ,tgdd,MacBook Pro 16 inch M2 Pro 2023 12CPU 19GPU 32GB
 HP,HP 15S FQ2716TU I3 1115G4,i3 1115G4,1.7 kg,10.490.000₫ *,,https://www.thegioididong.com/laptop/hp-15s-fq2716tu-i3-7c0x3pa,https://cdn.tgdd.vn/Products/Images/44/301634/Slider/vi-vn-hp-15s-fq2716tu-i3-7c0x3pa-slider-1.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,512 GB SSD NVMe PCIe ,Card tích hợp Intel UHD ,Dài 358.5 mm - Rộng 242 mm - Dày 17.9 mm -,Windows 11 Home SL ,2022,tgdd,HP 15s fq2711TU
 itel,ITEL SPIRIT 1 I3 8109U,i3 8109U,2.1 kg,4.990.000₫ *,,https://www.thegioididong.com/laptop/itel-spirit-1-i3-71006300035,https://cdn.tgdd.vn/Products/Images/44/265530/Slider/vi-vn-itel-spirit-1-i3-71006300035-1.jpg,"15.6"" Full HD (1920 x 1080) ",4 GB DDR4 (Onboard 4 GB +1 khe rời) 2400 MHz ,256 GB SSD M.2 SATA 3 (Có thể tháo ra lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB) ,Card tích hợp Intel Iris Plus Graphics 655 ,Dài 365 mm - Rộng 261 mm - Dày 24.9 mm -,Windows 11 Home SL ,2021,tgdd,ITEL SPIRIT 1 I3 8109U
 Asus,ASUS TUF GAMING F15 FX506LHB I5 10300H,i5 10300H,2.3 kg,15.490.000₫ *,,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506lhb-i5-hn188w,https://cdn.tgdd.vn/Products/Images/44/279259/Slider/vi-vn-asus-tuf-gaming-fx506lhb-i5-hn188w-1.jpg,"15.6"" Full HD (1920 x 1080) 144Hz ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 2933 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) ",Card rời GTX 1650 4GB ,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm -,Windows 11 Home SL ,2021,tgdd,Asus TUF Gaming FX506LHB-HN188W
 Acer,ACER ASPIRE 3 A315 58 54XF I5 1135G7,i5 1135G7,1.7 kg,12.490.000₫ *,,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-54xf-i5-nxam0sv007,https://cdn.tgdd.vn/Products/Images/44/285764/acer-aspire-3-a315-58-54xf-i5-nxam0sv007-ab-1.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 (Onboard 4 GB + 1 khe 4 GB) Từ 2400 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB) ",Card tích hợp Intel Iris Xe ,Dài 363.4 mm - Rộng 238.4 mm - Dày 19.9 mm -,Windows 11 Home SL ,2021,tgdd,Acer Aspire 3 A315-58-54M5
 HP,HP PAVILION 15 EG2082TU I5 1240P,i5 1240P,1.72 kg,16.990.000₫ *,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa,https://cdn.tgdd.vn/Products/Images/44/302533/Slider/vi-vn-hp-pavilion-15-eg2082tu-i5-7c0q5pa--(3).jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz ,512 GB SSD NVMe PCIe ,Card tích hợp Intel Iris Xe ,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm -,Windows 11 Home SL ,2022,tgdd,HP Pavilion 15-eg2083TU
 Lenovo,LENOVO IDEAPAD 3 15IAU7 I3 1215U,i3 1215U,1.63 kg,9.990.000₫ *,,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i3-82rk005lvn,https://cdn.tgdd.vn/Products/Images/44/287769/Slider/vi-vn-lenovo-ideapad-3-15iau7-i3-82rk005lvn-thumbvideo.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz ,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) ",Card tích hợp Intel UHD ,Dài 359.2 mm - Rộng 236.5 mm - Dày 19.9 mm -,Windows 11 Home SL ,2022,tgdd,Lenovo IdeaPad 3 14IAU7
