ID,Brand,Name,Price,Old Price,Link,ImageLink,CPU,Display,RAM,Graphics Card,Storage,OS,Battery,Weight
1,ASUS,ASUS S533EQ-BQ429W,24.590.000₫,25.990.000₫,https://phongvu.vn/asus-vivobook-s533eq-bq429w-i7-1165g7--s220200372,https://lh3.googleusercontent.com/64-8-CwVgRfzQjMOFJc2nUl2JAscm7HRX0COohFz_6Nk2TiUMV0QV6083FaJxF8-AzsiB7kDVLhG6m6UVAaLWfrKYACd8FSt=w500-rw,Intel Core i7-1165G7,"15.6"" IPS (1920 x 1080)",16GB Onboard DDR4 2666MHz,GeForce MX350 2GB GDDR5 / Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.8kg,1.8kg
2,ASUS,ASUS S533EA-BN462W,17.690.000₫,18.490.000₫,https://phongvu.vn/asus-vivobook-s533ea-bn462w--s220200732,https://lh3.googleusercontent.com/nHB_Yxy9tdTiSD-CLj6mqXjBraXuKfbpOhzySK7J1yqo2PdgsdBM2wWdWiPhbTurqpq85t0bFoHEIWleeQ-xfa2sJtszQ1E=w500-rw,Intel Core i5-1135G7,"15.6"" IPS (1920 x 1080)",8GB Onboard DDR4,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.8kg,1.8kg
3,ASUS,ASUS UX482EA-KA397W,31.490.000₫,32.990.000₫,https://phongvu.vn/asus-zenbook-ux482ea-ka397w--s220200733,https://lh3.googleusercontent.com/NVkTLRf8SM4eemDe9mTFJLSvIc8YwwGjK8NBW1TFFR0rBJJxwoZZsBZFeXee1UxMCv5ob09BWvAXP0O7Wmu3cmQljGadp-Y0=w500-rw,Intel Core i5-1135G7,"14"" IPS (1920 x 1080)",8GB Onboard LPDDR4X,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.6kg,1.6kg
7,Máy,Máy tính xách tay/  Acer Aspire 7 A715-41G-R150,16.060.000₫,21.490.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-7-a715-41g-r150-nh-q8ssv-004-amd-ryzen-7-3750h-den-hang-trung-bay--s220200834,https://lh3.googleusercontent.com/WHuQtSgd-p6_IEe4AkiBDv-jfjb6tFRGEw64wx_TPTBMX6K0XN0T7sO8XoM4Yg8VNXgMhWM3NK19pa42Al2Mgn1C5mXQCo0=w500-rw,AMD Ryzen 7 3750H,"15.6"" IPS (1920 x 1080)",1 x 8GB DDR4 2400MHz,GTX 1650Ti 4GB GDDR6 / AMD Radeon Vega 10 Graphics,512GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Hệ điều hành: Windows 10 Home 64-bit,null
8,Máy,Máy tính xách tay/  Acer Aspire A515-53-330E,5.000.000₫,11.490.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-a515-53-330e-nx-h6csv-001-i3-8145u-bac-hang-trung-bay--s220200877,https://lh3.googleusercontent.com/TrZE-rb2nNKAHiVdyAPX2c5Lt4PGU7rYag16l6cD5GRM6WwLKaN9uZDklphb58d0mKUJ9cFtQj6hDW-I7wHyN3aNSxi6JSk=w500-rw,"Intel Core i3-8145U ( 2.1 GHz - 3.9 GHz / 4MB / 2 nhân, 4 luồng )","15.6"" ( 1920 x 1080 ) , không cảm ứng",1 x 4GB Onboard DDR4,Intel UHD Graphics 620,1TB HDD 5400RPM,Linux,"- Pin: 3 cell 61 Wh Pin liền , khối lượng: 2.1 kg", 2.1 kg
10,HP,HP 240 G8,12.490.000₫,null,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-240-g8-617m3pa-i3-1005g1-bac--s220201082,https://lh3.googleusercontent.com/LCIC5Z4ePgeGltl_eXFO4WOK17wv2zcO4MC_IFuteaM7rT6YcuIaewwJl7MgkOacXyUCFgjw6CVFJIAzxdSLiSIoZ71bgPmC=w500-rw,Intel Core i3-1005G1,"14"" IPS (1366 x 768)",4GB DDR4 2666MHz,Onboard Intel UHD Graphics,256GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.5kg,1.5kg
11,HP,HP ProBook 450 G8,20.990.000₫,null,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-probook-450-g8-614k3pa-i5-1135g7-bac--s220201085,https://lh3.googleusercontent.com/it9AysJiCr0qGxxivNUPF7nR4Njhplz-r8iO3h8Hv8hCtnznIEvJdZALjPeK7gzbMoh7SXxJLCbha5W97ZK88Oet9zL89r0=w500-rw,Intel Core i5-1135G7,"15.6"" IPS (1920 x 1080)",1 x 8GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.8kg,1.8kg
12,ASUS,ASUS Vivobook S433EA-AM2307W,17.490.000₫,18.490.000₫,https://phongvu.vn/asus-vivobook-s433ea-am2307w--s220201088,https://lh3.googleusercontent.com/98i5QRJmMrInyGJpXV_HE3XadRbtnYpge6hF27jUHyx03aO8JQgwIj2-ksWtR1BAOVo3SCbtr_LSoILI6Du2ZHwigo27nBg=w500-rw,Intel Core i5-1135G7,"14"" IPS (1920 x 1080)",1 x 8GB Onboard DDR4 2666MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.4kg,1.4kg
13,ASUS,ASUS Vivobook X515EP-EJ405W RAM 8GB/512GB SSD/,16.690.000₫,null,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-x515ep-ej405w-i5-1135g7-bac--s220201807,https://lh3.googleusercontent.com/maZVa6DVjMqzbPs_R0-NOUrnhGxh3Pz-KIbpoN_rjAKLv-EooTIPk-Zx323DBiHwfshYi8c2TwcN4-zqS4rjtBaDaNVh8GwSFA=w500-rw,Intel Core i5-1135G7,"15.6"" (1920 x 1080)",8GB (4GB + 4GB Onboard) DDR4,NVIDIA GeForce MX330 2GB GDDR5 / Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.8kg,1.8kg
14,Máy,Máy tính xách tay/  Acer Aspire 3 A315-56-502X,10.200.000₫,14.490.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-3-a315-56-502x-nx-hs5sv-00f-i5-1035g1-den-hang-trung-bay--s220201864,https://lh3.googleusercontent.com/zIneJyaNrOuuXimJ51JpND5p1Q9WDlE7VxvDPASfrmb1yol4tmE9Hs0F_UJQyW28YK6judIacrCPvc6RX1RTmeUt34jykcPQ=w500-rw,Intel Core i5-1035G1,"15.6"" IPS (1920 x 1080)",1 x 4GB Onboard DDR4 2400MHz,Onboard Intel UHD Graphics,256GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Khối lượng: 1.7kg,1.7kg
17,HP,HP VICTUS 16-e0177AX,22.990.000₫,null,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-victus-16-e0177ax-4r0u9pa-amd-ryzen-5-5600h-den--s220202048,https://lh3.googleusercontent.com/DYNZIMfeWaMuqoOJvftV6cVXy6R2HkyUwEjMhcRUMdiMTb9Ur97Hxktxetv3iMme6ipR9Wknxf7GmnErLrxUH_m1qJojuk6yFg=w500-rw,AMD Ryzen 5 5600H,"16.1"" IPS (1920 x 1080),144Hz",2 x 4GB DDR4 3200MHz,GTX 1650 4GB GDDR6 / AMD Radeon Graphics,512GB SSD M.2 NVMe /,Windows 11,- Khối lượng: 2.4kg,2.4kg
